['# KSL']	['ID', 'DOCULECT', 'CONCEPT', 'GlossID', 'Orthography', 'IPA', 'Tokens', 'CogID']
113	EAH	32_frog	39	baka	baka	b a k a	EAH-32_frog-1
114	WOT	32_frog	39	baka	baka	b a k a	WOT-32_frog-1
#
115	H	33_hobbleshacklelegiron	40	békó	beːkoː	b eː k oː	H-33_hobbleshacklelegiron-1
#
116	EAH	33_hobbleshacklelegiron	40	bikaγu	bikaɣu	b i k a ɣ u	EAH-33_hobbleshacklelegiron-1
117	WOT	33_hobbleshacklelegiron	40	bïkaγu	bɯkaɣu	b ɯ k a ɣ u	WOT-33_hobbleshacklelegiron-1
#
118	H	33_hobbleshacklelegiron	41	béklyó	beːkjoː	b eː k j oː	H-33_hobbleshacklelegiron-2
#
119	EAH	33_hobbleshacklelegiron	41	bikaγu	bikaɣu	b i k a ɣ u	EAH-33_hobbleshacklelegiron-2
120	WOT	33_hobbleshacklelegiron	41	bïkaγu	bɯkaɣu	b ɯ k a ɣ u	WOT-33_hobbleshacklelegiron-2
#
121	H	34_stampbondmark	42	bélyeg	beːjɛɡ	b eː j ɛ ɡ	H-34_stampbondmark-1
#
122	OH	34_stampbondmark	42	bēlʹeg	beːjɛɡ	b eː j ɛ ɡ	OH-34_stampbondmark-1
123	EAH	34_stampbondmark	42	beleg	bɛlɛɡ	b ɛ l ɛ ɡ	EAH-34_stampbondmark-1
124	WOT	34_stampbondmark	42	bäläg	bɛlɛɡ	b ɛ l ɛ ɡ	WOT-34_stampbondmark-1
#
125	H	35_wagerent	43	bér	beːr	b eː r	H-35_wagerent-1
#
126	EAH	35_wagerent	43	bērü	beːry	b eː r y	EAH-35_wagerent-1
127	WOT	35_wagerent	43	berü	bɛry	b ɛ r y	WOT-35_wagerent-1
#
128	H	36_nameofapeople	44	bercel	bɛrt͡sɛl	b ɛ r t͡s ɛ l	H-36_nameofapeople-1
#
129	OH	36_nameofapeople	44	bercel	bɛrt͡sɛl	b ɛ r t͡s ɛ l	OH-36_nameofapeople-1
130	EAH	36_nameofapeople	44	bersil	bɛrsil	b ɛ r s i l	EAH-36_nameofapeople-1
131	WOT	36_nameofapeople	44	Bärsil	bɛrsil	b ɛ r s i l	WOT-36_nameofapeople-1
#
132	H	37_grainorsmallglobuleofpreciousmetal	45	bertű	bɛrtyː	b ɛ r t yː	H-37_grainorsmallglobuleofpreciousmetal-1
#
133	OH	37_grainorsmallglobuleofpreciousmetal	45	börtǖ	børtyː	b ø r t yː	OH-37_grainorsmallglobuleofpreciousmetal-1
134	LAH	37_grainorsmallglobuleofpreciousmetal	45	börteü̯	børtɛw	b ø r t ɛ w	LAH-37_grainorsmallglobuleofpreciousmetal-1
135	EAH	37_grainorsmallglobuleofpreciousmetal	45	bürtiγ	byrtiɣ	b y r t i ɣ	EAH-37_grainorsmallglobuleofpreciousmetal-1
136	WOT	37_grainorsmallglobuleofpreciousmetal	45	bürtiγ	byrtiɣ	b y r t i ɣ	WOT-37_grainorsmallglobuleofpreciousmetal-1
#
137	H	38_abirdofprey	46	bese	bɛʃɛ	b ɛ ʃ ɛ	H-38_abirdofprey-1
#
138	EAH	38_abirdofprey	46	beše	bɛʃɛ	b ɛ ʃ ɛ	EAH-38_abirdofprey-1
139	WOT	38_abirdofprey	46	bäšä	bɛʃɛ	b ɛ ʃ ɛ	WOT-38_abirdofprey-1
#
140	H	39_pechenegnameofatribe	47	besenyő	bɛʃɛɲøː	b ɛ ʃ ɛ ɲ øː	H-39_pechenegnameofatribe-1
#
141	OH	39_pechenegnameofatribe	47	bešeneü̯	bɛʃɛnɛw	b ɛ ʃ ɛ n ɛ w	OH-39_pechenegnameofatribe-1
142	EAH	39_pechenegnameofatribe	47	bešeneγ	bɛʃɛnɛɣ	b ɛ ʃ ɛ n ɛ ɣ	EAH-39_pechenegnameofatribe-1
143	WOT	39_pechenegnameofatribe	47	bäčänäg	bɛt͡ʃɛnɛɡ	b ɛ t͡ʃ ɛ n ɛ ɡ	WOT-39_pechenegnameofatribe-1
#
144	H	40_letterofthealphabet	48	betű	bɛtyː	b ɛ t yː	H-40_letterofthealphabet-1
#
145	OH	40_letterofthealphabet	48	beteü̯	bɛtɛw	b ɛ t ɛ w	OH-40_letterofthealphabet-1
146	EAH	40_letterofthealphabet	48	bitiγ	bitiɣ	b i t i ɣ	EAH-40_letterofthealphabet-1
147	WOT	40_letterofthealphabet	48	bitig	bitiɡ	b i t i ɡ	WOT-40_letterofthealphabet-1
#
148	H	41_pocketknife	49	bicsak	bit͡ʃɒk	b i t͡ʃ ɒ k	H-41_pocketknife-1
#
149	EAH	41_pocketknife	49	bičak	bit͡ʃak	b i t͡ʃ a k	EAH-41_pocketknife-1
150	WOT	41_pocketknife	49	bïčak	bɯt͡ʃak	b ɯ t͡ʃ a k	WOT-41_pocketknife-1
#
151	H	41_pocketknife	50	bicsak	bit͡ʃɒk	b i t͡ʃ ɒ k	H-41_pocketknife-2
#
152	EAH	41_pocketknife	50	bičak	bit͡ʃak	b i t͡ʃ a k	EAH-41_pocketknife-2
153	WOT	41_pocketknife	50	bïčkï	bɯt͡ʃkɯ	b ɯ t͡ʃ k ɯ	WOT-41_pocketknife-2
#
154	H	41_pocketknife	51	bicsak	bit͡ʃɒk	b i t͡ʃ ɒ k	H-41_pocketknife-3
#
155	EAH	41_pocketknife	51	bičak	bit͡ʃak	b i t͡ʃ a k	EAH-41_pocketknife-3
156	WOT	41_pocketknife	51	bičkä	bit͡ʃkɛ	b i t͡ʃ k ɛ	WOT-41_pocketknife-3
#
157	H	42_bull	52	bika	bikɒ	b i k ɒ	H-42_bull-1
#
158	EAH	42_bull	52	bika	bika	b i k a	EAH-42_bull-1
159	WOT	42_bull	52	bïka	bɯka	b ɯ k a	WOT-42_bull-1
#
160	H	43_shackles	53	bilincs	bilint͡ʃ	b i l i n t͡ʃ	H-43_shackles-1
#
161	OH	43_shackles	53	bilinček	bilint͡ʃɛk	b i l i n t͡ʃ ɛ k	OH-43_shackles-1
162	EAH	43_shackles	53	bileček	bilɛt͡ʃɛk	b i l ɛ t͡ʃ ɛ k	EAH-43_shackles-1
163	WOT	43_shackles	53	biläčäk	bilɛt͡ʃɛk	b i l ɛ t͡ʃ ɛ k	WOT-43_shackles-1
#
164	H	44_judge	54	bíró	biːroː	b iː r oː	H-44_judge-1
#
