ID	DOCULECT	ALIGNMENT	COGID	CV_SEGMENTS
328	H	#ɟ uː r#	212	CVC
329	EAH	d͡ʒʲ u.ɣ.u r	212	CVCVC
330	H	#ɟ yː l#	213	CVC
331	EAH	d͡ʒʲ i.ɣ.i l	213	CVCVC
332	H	#ɟ yː j.t# -#	214	CVCC
333	EAH	ɟ yː l -	214	CVC
334	H	#ɟ yː l ø l#	215	CVCVC
335	EAH	d͡ʒʲ ɛ.ɣ.i l ɛ -	215	CVCVCV
336	H	#ɟ y m ø l.t͡ʃ# -#	216	CVCVCC
337	EAH	d͡ʒʲ ɛ m i l.t͡ʃ -	216	CVCVCC
338	H	#ɟ y m ø l.t͡ʃ eː ɲ# -#	217	CVCVCCVC
339	EAH	d͡ʒʲ ɛ m i l.t͡ʃ ɛ n -	217	CVCVCCVC
340	H	#ɟ yː r yː#	219	CVCV
341	EAH	d͡ʒʲ y r y.ɣ	219	CVCVC
342	H	#ɟ yː s yː#	220	CVCV
343	EAH	d͡ʒʲ y.ɣ s y.ɣ	220	CVCCVC
344	H	#h ɒ j oː#	221	CVCV
345	EAH	h a j i.ɣ	221	CVCVC
346	H	#h ɒ r ɒ n.ɡ# -#	222	CVCVCC
347	EAH	h a r a ng -	222	CVCCVC
348	H	#h ɛ r.j oː#	223	CVCCV
349	EAH	x i r.ɣ u.j	223	CVCCVC
350	H	#h o m o k# -#	224	CVCVC
351	EAH	h u m o k i	224	CVCVCV
352	H	#h u r o k#	225	CVCVC
353	EAH	- u r o k	225	VCVC
354	H	#i d øː#	226	VCV
355	EAH	y d ɛ.ɣ	226	VCVC
356	H	#i ɡ ɛ# -#	227	VCV
357	EAH	y ɡ ɛ -	227	VCV
358	H	#i ɡ ɛ n# -#	228	VCVC
359	EAH	ɛ ɡ ɛ n -	228	VCVC
360	H	#i j ɛ	229	VCV
361	EAH	ɛ j i	229	VCV
362	H	#i k ɛ r# -#	231	VCVC
363	EAH	i k i r -	231	VCVC
364	H	#i l.d o m# -#	232	VCCVC
365	EAH	i l.d a m -	232	VCCVC
366	H	#i lː	233	VC
367	EAH	i l	233	VC
368	H	#i m	234	VC
369	EAH	w.i m	234	CVC
370	H	#i n.ɡ#	235	VCC
371	EAH	y mː.ɛ.ɡ	235	VCVC
372	H	#iː r# -#	236	VC
373	EAH	i r -	236	VC
374	H	#iː r oː#	237	VCV
375	EAH	i r a.ɣ	237	VCVC
376	H	#i zː i	238	VCV
377	EAH	i s i	238	VCV
378	H	#k ɒ l ɒ.u z# -#	242	CVCVVC
379	EAH	k a l a.u z -	242	CVCVVC
380	H	#k ɒ l oː z# -#	243	CVCVC
381	EAH	k a l a.u z -	243	CVCVVC
382	H	#k aː l i z# -#	244	CVCVC
383	EAH	k a l i z -	244	CVCVC
384	H	#k ɒ l o k aː ɲ# -#	245	CVCVCVC
385	EAH	k a r.l u k a n -	245	CVCCVCVC
386	H	#k ɒ n.ɟ iː k ɒ# -#	252	CVCCVCV
387	EAH	k ɒ n.ɟ i k ɒ -	252	CVCCVCV
388	H	#k ɒ ɲ ɒ r oː#	254	CVCVCV
389	EAH	k a m a r u.ɣ	254	CVCVCVC
390	H	#k ɒ p.t aː ɲ# -#	255	CVCCVC
391	EAH	k a p.k a n -	255	CVCCVC
392	H	#k ɒ p u#	256	CVCV
393	EAH	k a p u.ɣ	256	CVCVC
394	H	#k ɒ r# -#	257	CVC
395	EAH	k a r -	257	CVC
396	H	#k ɒ r ɒ k aː n# -#	259	CVCVCVC
397	EAH	k a r a k a n -	259	CVCVCVC
398	H	#k ɒ r aː m# -#	260	CVCVC
399	EAH	k o r aː m -	260	CVCVC
400	H	#k ɒ r ɒ m.b eː l# -#	261	CVCVCCVC
401	EAH	k a r a m.p i l -	261	CVCVCCVC
402	H	#k ɒ r oː#	263	CVCV
403	EAH	k a r o.ɣ	263	CVCVC
404	H	#k aː r oː k ɒ t o n	264	CVCVCVCVC
405	EAH	k a r a k o t a n	264	CVCV_CVCVC
406	H	#k ɒ r.v ɒ j# -#	265	CVCCVC
407	EAH	k a r.ɣ a j -	265	CVCCVC
408	H	#k ɒ t aː n.ɡ# -#	266	CVCVCC
409	EAH	k a t aː n.ɡ -	266	CVCVCC
410	H	#k ɒ z aː r# -#	267	CVCVC
411	EAH	k a z a r -	267	CVCVC
412	H	#k ɛ t͡ʃ.k ɛ#	269	CVCCV
413	EAH	k ɛ t͡ʃ.ɛ.k ɛ	269	CVCVCV
414	H	#k eː k# -#	270	CVC
415	EAH	k ɛ.j k -	270	CVCC
416	H	#k ɛ l ɛ n.ɟ ɛ#	271	CVCVCCV
417	EAH	k ɛ l i n.t͡ʃ ɛ.ɣ	271	CVCVCCVC
418	H	#k ɛ n.d ɛ r# -#	272	CVCCVC
419	EAH	k ɛ n.d i r -	272	CVCCVC
420	H	#k eː n ɛ ʃ øː# -#	273	CVCVCV
421	EAH	k ɛ n ɛ ʃ yː -	273	CVCVCV
422	H	#k ɛ p ɛ#	275	CVCV
423	EAH	k ɛ p ɛ.ɣ	275	CVCVC
424	H	#k eː r	277	CVC
425	EAH	k eː r	277	CVC
426	H	#k eː r øː#	278	CVCV
427	EAH	k ɛ.w.ɛ r ɛ.ɣ	278	CVCVCVC
428	H	#k ɛ r.t# -#	279	CVCC
429	EAH	k ɛ r.t ɛ	279	CVCCV
430	H	#k ɛ ʃ ɛ j yː#	280	CVCVCV
431	EAH	k y t͡ʃ ɛ l ɛ.ɣ	280	CVCVCVC
432	H	#k eː ʃ	281	CVC
433	EAH	k eː t͡ʃ	281	CVC
434	H	#k i t͡ʃ i ɲ# -#	282	CVCVC
435	EAH	k i t͡ʃ i n -	282	CVCVC
436	H	#k i ʃ# -#	285	CVC
437	EAH	k i t͡ʃ iɣ	285	CVCVC
438	H	#k iː j.t͡s#	286	CVCC
439	EAH	k i j.i.z	286	CVCVC
440	H	#k i k ɛ r i t͡ʃ# -#	287	CVCVCVC
441	EAH	k y k ɛ r i l.t͡ʃ -	287	CVCVCVCC
442	H	#k i k ø t͡ʃ eː ɲ# -#	288	CVCVCVC
443	EAH	k y k ɛ r.t͡ʃ ɛ n -	288	CVCVCCVC
444	H	#k iː n# -#	289	CVC
445	EAH	k iː n -	289	CVC
446	H	#k o b ɒ k# -#	290	CVCVC
447	EAH	k ɒ b ɒ k -	290	CVCVC
448	H	#k o b o z# -#	291	CVCVC
449	EAH	k o b o z -	291	CVCVC
450	H	#k o l.d u	292	CVCCV
451	EAH	k o l.d u	292	CVCCV
452	H	#k o m.l oː#	295	CVCCV
453	EAH	k u m.l a.ɣ	295	CVCCVC
454	H	#k o m oː t͡ʃ i n# -#	296	CVCVCVC
455	EAH	k ɒ m i t͡ʃ i n -	296	CVCVCVC
456	H	#k o m o n.d o r# -#	297	CVCVCCVC
457	EAH	k u m a n.d u r -	297	CVCVCCVC
458	H	#k o m o r# -#	298	CVCVC
459	EAH	k o m u r -	298	CVCVC
460	H	#k o p o r.ʃ oː#	299	CVCVCCV
461	EAH	k o p u r.t͡ʃ a.ɣ	299	CVCVCCVC
462	H	#k o r# -#	300	CVC
463	EAH	k u r -	300	CVC
464	H	#k o r.h aː ɲ# -#	301	CVCCVC
465	EAH	k o r.ɣ a n -	301	CVCCVC
466	H	#k oː r oː#	302	CVCV
467	EAH	k u r o.ɣ	302	CVCVC
468	H	#k o r o m# -#	303	CVCVC
469	EAH	k u r u m -	303	CVCVC
470	H	#k o ʃ# -#	304	CVC
471	EAH	k o t͡ʃ -	304	CVC
472	H	#k o z.m ɒ#	305	CVCCV
473	EAH	k a s.m a.ɣ	305	CVCCVC
