"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-223"	222	"bell"	2246	"BELL"
"Rona-Tas-2011-500-224"	223	"hawk"	307	"HAWK"
"Rona-Tas-2011-500-225"	224	"sand"	671	"SAND"
"Rona-Tas-2011-500-226"	225	"noose, loop, snare"	2604	"NOOSE"
"Rona-Tas-2011-500-227"	226	"time, weather"	892	"TIME"
"Rona-Tas-2011-500-228"	227	"word, biblical word, verb"	1599	"WORD"
"Rona-Tas-2011-500-229"	228	"yes; affirmative particle, very"	1268	"YES"
"Rona-Tas-2011-500-230"	229	"to be frightened, to take fright"	2109	"FEAR OR FRIGHTEN"
"Rona-Tas-2011-500-231"	230	"to be frightened, to take fright"	2109	"FEAR OR FRIGHTEN"
"Rona-Tas-2011-500-232"	231	"twin"	1005	"TWINS"
"Rona-Tas-2011-500-233"	232	"proper behaviour"	4007	"MORAL"
"Rona-Tas-2011-500-234"	233	"to suit something, to be proper, to fit into"	4008	"SUITABLE"
"Rona-Tas-2011-500-235"	234	"to adore, worship"	257	"WORSHIP"
"Rona-Tas-2011-500-236"	235	"shirt"	1622	"SHIRT"
"Rona-Tas-2011-500-237"	236	"to write"	1672	"WRITE"
"Rona-Tas-2011-500-238"	237	"buttermilk"	4009	"BUTTERMILK"
"Rona-Tas-2011-500-239"	238	"to glow, be hot"	1286	"HOT"
"Rona-Tas-2011-500-240"	239	"name of an ethnic group of Iranian origin in Hungary"	1405	"NAME"
"Rona-Tas-2011-500-241"	240	"do-less, do-little"	4010	"DO-LITTLE"
"Rona-Tas-2011-500-242"	241	"bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)"	4000	"BULRUSH"
"Rona-Tas-2011-500-243"	242	"guide, pilot; conductor, ticket inspector"	43	"LEAD (GUIDE)"
"Rona-Tas-2011-500-244"	243	"guide, pilot; conductor, ticket inspector"	43	"LEAD (GUIDE)"
"Rona-Tas-2011-500-245"	244	"an ethnic group of Muslim faith in Mediaeval Hungary"	1405	"NAME"
"Rona-Tas-2011-500-246"	245	"a water plant, Stratiotes aloides"	4011	"STRATIOTES ALOIDES"
"Rona-Tas-2011-500-247"	246	"a water plant, Stratiotes aloides"	4011	"STRATIOTES ALOIDES"
"Rona-Tas-2011-500-248"	247	"a water plant, Stratiotes aloides"	4011	"STRATIOTES ALOIDES"
"Rona-Tas-2011-500-249"	248	"whip, lash"	2630	"WHIP"
"Rona-Tas-2011-500-250"	249	"whip, lash"	2630	"WHIP"
"Rona-Tas-2011-500-251"	250	"whip, lash"	2630	"WHIP"
"Rona-Tas-2011-500-252"	251	"saddle strap"	2973	"STRAP"
"Rona-Tas-2011-500-253"	252	"saddle strap"	2973	"STRAP"
"Rona-Tas-2011-500-254"	253	"bridle, reins"	4001	"REIN"
