"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-152"	152	"boat, ship"	1844	"BOAT"
"Rona-Tas-2011-500-153"	153	"bell"	2246	"BELL"
"Rona-Tas-2011-500-154"	154	"hawk"	307	"HAWK"
"Rona-Tas-2011-500-155"	155	"sand"	671	"SAND"
"Rona-Tas-2011-500-156"	156	"noose, loop, snare"	2604	"NOOSE"
"Rona-Tas-2011-500-157"	157	"time, weather"	892	"TIME"
"Rona-Tas-2011-500-158"	158	"word, biblical word, verb"	1599	"WORD"
"Rona-Tas-2011-500-159"	159	"yes; affirmative particle, very"	1268	"YES"
"Rona-Tas-2011-500-160"	160	"twin"	1005	"TWINS"
"Rona-Tas-2011-500-161"	161	"to adore, worship"	257	"WORSHIP"
"Rona-Tas-2011-500-162"	162	"shirt"	1622	"SHIRT"
"Rona-Tas-2011-500-163"	163	"to write"	1672	"WRITE"
"Rona-Tas-2011-500-164"	164	"to glow, be hot"	1286	"HOT"
"Rona-Tas-2011-500-165"	165	"guide, pilot; conductor, ticket inspector"	43	"LEAD (GUIDE)"
"Rona-Tas-2011-500-166"	166	"guide, pilot; conductor, ticket inspector"	43	"LEAD (GUIDE)"
"Rona-Tas-2011-500-167"	167	"whip, lash"	2630	"WHIP"
"Rona-Tas-2011-500-168"	168	"whip, lash"	2630	"WHIP"
"Rona-Tas-2011-500-169"	169	"whip, lash"	2630	"WHIP"
"Rona-Tas-2011-500-170"	170	"measles"	3389	"MEASLES"
"Rona-Tas-2011-500-171"	171	"trap, snare"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-172"	172	"gate"	2940	"GATE"
"Rona-Tas-2011-500-173"	173	"arm"	1673	"ARM"
"Rona-Tas-2011-500-174"	174	"damage, loss"	2947	"DAMAGE (INJURY)"
"Rona-Tas-2011-500-175"	175	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"Rona-Tas-2011-500-176"	176	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"Rona-Tas-2011-500-177"	177	"stake, pale, stick"	1295	"STICK"
"Rona-Tas-2011-500-178"	178	"a fishing water bird with black feathers, cormorant,Phalacrocorax carbo"	840	"CORMORANT"
"Rona-Tas-2011-500-179"	179	"bosom, breast"	1402	"BREAST"
"Rona-Tas-2011-500-180"	180	"goat, Capra hircus"	1502	"GOAT"
"Rona-Tas-2011-500-181"	181	"blue"	837	"BLUE"
"Rona-Tas-2011-500-182"	182	"trousseau, dowry, gift given with the bride or bridegroom"	3168	"DOWRY"
"Rona-Tas-2011-500-183"	183	"hemp, Cannabis"	2041	"HEMP"
"Rona-Tas-2011-500-184"	184	"picture, shape, form"	2401	"PICTURE"
"Rona-Tas-2011-500-185"	185	"to ruminate (of bovines)"	3680	"RUMINATE"
"Rona-Tas-2011-500-186"	186	"garden, place for animals"	586	"GARDEN"
"Rona-Tas-2011-500-187"	187	"vulture, Vultur"	1185	"VULTURE"
"Rona-Tas-2011-500-188"	188	"to be, become late"	1579	"BE"
"Rona-Tas-2011-500-189"	189	"small, little"	1246	"SMALL"
