ID,Target_Form_ID,Source_Form_ID,Comment,Source
163-86_prisonjail,EAH-86_prisonjail-1,WOT-86_prisonjail-1,,wot
164-88_sadbadtempered,EAH-88_sadbadtempered-1,EAH-88_sadbadtempered-1,,wot
165-88_sadbadtempered,EAH-88_sadbadtempered-1,WOT-88_sadbadtempered-1,,wot
166-89_farewellindulgencededicationfestivalannualparishfeast,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,,wot
167-89_farewellindulgencededicationfestivalannualparishfeast,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,WOT-89_farewellindulgencededicationfestivalannualparishfeast-1,,wot
168-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid,EAH-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1,EAH-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1,,wot
169-91_volgabulgar,EAH-91_volgabulgar-1,EAH-91_volgabulgar-1,,wot
170-91_volgabulgar,EAH-91_volgabulgar-1,WOT-91_volgabulgar-1,,wot
171-92_steamvapourfumesheat,EAH-92_steamvapourfumesheat-1,EAH-92_steamvapourfumesheat-1,,wot
172-92_steamvapourfumesheat,EAH-92_steamvapourfumesheat-1,WOT-92_steamvapourfumesheat-1,,wot
173-93_wheattriticum,EAH-93_wheattriticum-1,EAH-93_wheattriticum-1,,wot
174-93_wheattriticum,EAH-93_wheattriticum-1,WOT-93_wheattriticum-1,,wot
175-94_clubmacereedmace,EAH-94_clubmacereedmace-1,EAH-94_clubmacereedmace-1,,wot
176-95_beech,EAH-95_beech-1,EAH-95_beech-1,,wot
177-95_beech,EAH-95_beech-1,WOT-95_beech-1,,wot
178-96_sin,EAH-96_sin-1,EAH-96_sin-1,,wot
179-96_sin,EAH-96_sin-1,WOT-96_sin-1,,wot
180-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,,wot
181-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,WOT-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,,wot
182-98_magical,EAH-98_magical-1,EAH-98_magical-1,,wot
183-98_magical,EAH-98_magical-1,WOT-98_magical-1,,wot
184-99_akindofwillowsalixelgnos,EAH-99_akindofwillowsalixelgnos-1,EAH-99_akindofwillowsalixelgnos-1,,wot
185-99_akindofwillowsalixelgnos,EAH-99_akindofwillowsalixelgnos-1,WOT-99_akindofwillowsalixelgnos-1,,wot
186-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-1,EAH-103_trapsnareforcatchingbirdsbirdcage-1,,wot
187-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-1,WOT-103_trapsnareforcatchingbirdsbirdcage-1,,wot
188-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-2,EAH-103_trapsnareforcatchingbirdsbirdcage-2,,wot
189-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-2,WOT-103_trapsnareforcatchingbirdsbirdcage-2,,wot
190-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-3,EAH-103_trapsnareforcatchingbirdsbirdcage-3,,wot
191-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-3,WOT-103_trapsnareforcatchingbirdsbirdcage-3,,wot
192-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-4,EAH-103_trapsnareforcatchingbirdsbirdcage-4,,wot
193-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-4,WOT-103_trapsnareforcatchingbirdsbirdcage-4,,wot
194-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea,EAH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,EAH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,,wot
195-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea,EAH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,WOT-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,,wot
196-105_akindofwillow,EAH-105_akindofwillow-1,EAH-105_akindofwillow-1,,wot
197-105_akindofwillow,EAH-105_akindofwillow-1,WOT-105_akindofwillow-1,,wot
198-107_akindofwolfsmilkeasterflowereuphorbia,EAH-107_akindofwolfsmilkeasterflowereuphorbia-1,EAH-107_akindofwolfsmilkeasterflowereuphorbia-1,,wot
199-107_akindofwolfsmilkeasterflowereuphorbia,EAH-107_akindofwolfsmilkeasterflowereuphorbia-2,EAH-107_akindofwolfsmilkeasterflowereuphorbia-2,,wot
200-108_afishleuciscussouffiaagassizi,EAH-108_afishleuciscussouffiaagassizi-1,EAH-108_afishleuciscussouffiaagassizi-1,,wot
201-109_onlyjust,EAH-109_onlyjust-1,EAH-109_onlyjust-1,,wot
202-109_onlyjust,EAH-109_onlyjust-1,WOT-109_onlyjust-1,,wot
203-110_pickaxemaceasmallaxewarhammer,EAH-110_pickaxemaceasmallaxewarhammer-1,EAH-110_pickaxemaceasmallaxewarhammer-1,,wot
204-110_pickaxemaceasmallaxewarhammer,EAH-110_pickaxemaceasmallaxewarhammer-1,WOT-110_pickaxemaceasmallaxewarhammer-1,,wot
205-113_nettleurtica,EAH-113_nettleurtica-1,EAH-113_nettleurtica-1,,wot
206-113_nettleurtica,EAH-113_nettleurtica-1,WOT-113_nettleurtica-1,,wot
207-113_nettleurtica,EAH-113_nettleurtica-2,EAH-113_nettleurtica-2,,wot
208-113_nettleurtica,EAH-113_nettleurtica-2,WOT-113_nettleurtica-2,,wot
209-113_nettleurtica,EAH-113_nettleurtica-3,EAH-113_nettleurtica-3,,wot
210-113_nettleurtica,EAH-113_nettleurtica-3,WOT-113_nettleurtica-3,,wot
211-114_thicketbrushwooddryfoliagegrovemeadow,EAH-114_thicketbrushwooddryfoliagegrovemeadow-1,EAH-114_thicketbrushwooddryfoliagegrovemeadow-1,,wot
212-114_thicketbrushwooddryfoliagegrovemeadow,EAH-114_thicketbrushwooddryfoliagegrovemeadow-1,WOT-114_thicketbrushwooddryfoliagegrovemeadow-1,,wot
213-115_thicketbrushwooddryfoliagegrovemeadow,EAH-115_thicketbrushwooddryfoliagegrovemeadow-1,EAH-115_thicketbrushwooddryfoliagegrovemeadow-1,,wot
214-115_thicketbrushwooddryfoliagegrovemeadow,EAH-115_thicketbrushwooddryfoliagegrovemeadow-1,WOT-115_thicketbrushwooddryfoliagegrovemeadow-1,,wot
215-116_silvercupwoodenladleearthenwarebowl,EAH-116_silvercupwoodenladleearthenwarebowl-1,EAH-116_silvercupwoodenladleearthenwarebowl-1,,wot
216-116_silvercupwoodenladleearthenwarebowl,EAH-116_silvercupwoodenladleearthenwarebowl-1,WOT-116_silvercupwoodenladleearthenwarebowl-1,,wot
217-118_fightingtrooparmygroupbattlequarrelhubbubflock,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-1,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-1,,wot
218-118_fightingtrooparmygroupbattlequarrelhubbubflock,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-1,WOT-118_fightingtrooparmygroupbattlequarrelhubbubflock-1,,wot
219-118_fightingtrooparmygroupbattlequarrelhubbubflock,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-2,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-2,,wot
220-118_fightingtrooparmygroupbattlequarrelhubbubflock,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-2,WOT-118_fightingtrooparmygroupbattlequarrelhubbubflock-2,,wot
221-119_toaddtojointobuckleupsomething,EAH-119_toaddtojointobuckleupsomething-1,EAH-119_toaddtojointobuckleupsomething-1,,wot
222-119_toaddtojointobuckleupsomething,EAH-119_toaddtojointobuckleupsomething-1,WOT-119_toaddtojointobuckleupsomething-1,,wot
223-120_clasp,EAH-120_clasp-1,EAH-120_clasp-1,,wot
224-120_clasp,EAH-120_clasp-1,WOT-120_clasp-1,,wot
225-122_measlesmallpoxpocksskineruptiondecorativeembroidery,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-1,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-1,,wot
226-122_measlesmallpoxpocksskineruptiondecorativeembroidery,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-1,WOT-122_measlesmallpoxpocksskineruptiondecorativeembroidery-1,,wot
227-122_measlesmallpoxpocksskineruptiondecorativeembroidery,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-2,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-2,,wot
