ID,Name,Concepticon_ID,Concepticon_Gloss
229_gardenplaceforanimals,"garden, place for animals",586,GARDEN
230_vulturevultur,"vulture, Vultur",1185,VULTURE
231_tobebecomelate,"to be, become late",1579,BE
232_small,small,1246,SMALL
233_smalllittle,"small, little",1246,SMALL
234_felt,felt,325,FELT
235_wildmeadowsaffroncolchicumautumnalelionstoothtaraxacum,"wild/meadow saffron, Colchicum autumnale; lions tooth, Taraxacum",2230,UNTAMED OR WILD
236_abirdsimilartoafalconakindofbirdofprey,"a bird similar to a falcon, a kind of bird of prey",,
237_pain,pain,1783,PAIN
238_gourdcalabashlagenariavulgarisheadbillycockhat,"gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat",,
239_lutecittern,"lute, cittern",2681,LUTE
240_tobegtomendicate,"to beg, to mendicate",3534,BEG
241_beggar,beggar,1934,BEGGAR
242_hopshumuluslupulus,"hops, Humulus lupulus",3316,HOPS
243_timothygrassphleumphleumsp,"timothy-grass, phleum, Phleum sp.",,
244_akindofhungariansheepdog,a kind of Hungarian sheepdog,,
245_gloomygravemorosesombredullcolourednotproperlycastrated,"gloomy, grave, morose, sombre, dull-coloured; not properly castrated",1773,GRAVE
246_coffin,coffin,2011,COFFIN
247_ageperiod,"age, period",1789,AGE
248_tombsmallhillelevateddryplaceinamarsh,"tomb, small hill, elevated, dry place in a marsh",1773,GRAVE
249_drystalkofweed,dry stalk of weed,,
250_soot,soot,830,SOOT
251_ram,ram,1344,RAM
252_burn,burn,2102,BURN
253_frocksheepskinwaistcoat,"frock, sheepskin waistcoat",,
254_blackthornprunusspinosa,"blackthorn, Prunus spinosa",,
255_loan,loan,,
256_thenavelvariouspartsofagriculturalandotherinstrumentsaroundwhichsomethingturnsorrotatesorwhichisinthecentre,"the navel; various parts of agricultural and other instruments,around which something turns or rotates or which is in the centre",1838,NAVEL
257_youngofananimalkidpuppylad,"young of an animal, kid, puppy, lad",,
258_pounderbeatersmallmortar,"pounder, beater, small mortar",2459,GRINDSTONE
259_breaststrap,breast strap,,
260_book,book,963,BOOK
261_stumpyasmallthickman,"stumpy, a small, thick man",1246,SMALL
262_akindofhungariansheepdogkomondor,"a kind of Hungarian sheepdog, komondor",,
263_cloakgownovercoat,"cloak, gown, overcoat",326,CLOAK
264_churnbeehiveanythingwithahollowpartinwhichsomethingcanbefittedinatroughtrayforchannellingwaterthesameusedasasmallbridgethelatterintranslyvania,"churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)",88,BEEHIVE
265_ashtreefraxinussp,"ash tree, Fraxinus sp.",,
266_mellowpowderycrumblyrottenmouldy,"mellow, powdery, crumbly, rotten, mouldy",1728,ROTTEN
267_pearpyruscommunis,"pear, Pyrus communis",922,PEAR
268_togreettothank,"to greet, to thank",3552,GREET
269_thecumanethnicgroupinhungary,the Cuman ethnic group in Hungary,,
270_akindofdogahungarianbreedofsheepdog,"a kind of dog, a Hungarian breed of sheepdog",,
271_afishlivingatthebottomoftherivergudgeongobiofluviatilis,"a fish living at the bottom of the river, gudgeon, Gobio fluviatilis",,
272_laughingbirdpicusviridis,"laughing bird, Picus viridis",,
273_drysummerfograinbow,"dry summer fog, rainbow",,
274_thenameofagroupofmilitarypeopleinhungarythecumanbodyguardtothehungarianking,"the name of a group of military people in Hungary,the Cuman bodyguard to the Hungarian king",,
275_chaffhuskswinnowingstailingsrefuseofgrain,"chaff, husks, winnowings, tailings, refuse of grain",2363,CHAFF (HUSK)
276_causereason,"cause, reason",860,CAUSE
277_toteach,to teach,709,TEACH
278_stycattlepensheepfold,"sty, cattle pen, sheepfold",,
